date,comic
07-13-18,"Fun Day at Work"
07-12-18,"Musing"
07-11-18,"Proper Warning"
07-10-18,"Job With a Bite"
07-09-18,"Dry As a Bone"
07-05-18,"The Voice of Innocence"
07-03-18,"Pop"
06-26-18,"Free Water"
06-25-18,"Good Luck Traditions"
06-22-18,"Safety Films"
06-21-18,"Our Esteemed Customers"
06-20-18,"Lost Luster"
06-19-18,"A Lead"
06-15-18,"The Process"
06-14-18,"Getting It Out of the Way"
06-07-18,"Haunted"
06-06-18,"My Wayward Youth pt 3"
06-05-18,"My Wayward Youth pt 2"
06-04-18,"My Wayward Youth"
06-01-18,"Summer Ahead"
05-30-18,"Scrimping and Saving"
05-29-18,"Bucking Tradition"
05-25-18,"Baby Talk"
05-23-18,"Goth Day"
05-11-18,"Buried Treasure pt 5"
05-10-18,"Buried Treasure pt 4"
05-09-18,"Buried Treasure pt 3"
05-08-18,"New Skills"
05-07-18,"Buried Treasure pt 2"
05-04-18,"Buried Treasure pt 1"
05-03-18,"Throw Something Together"
05-02-18,"Reliving Childhood"
05-01-18,"On Track"
04-25-18,"Do Not Pass Go"
04-24-18,"Pups Forever"
04-23-18,"Date Letdown"
04-18-18,"Up, Up, and Oh No"
04-16-18,"Burning Mad"
04-06-18,"Job Offer"
04-05-18,"Natrual and Calm"
04-04-18,"Internal"
04-03-18,"Divided Attention"
03-29-18,"Not-So-Out and About"
03-28-18,"Page Turner"
03-27-18,"Merch Table"
03-23-18,"Growing Up And Away"
03-20-18,"Parental Trust"
03-15-18,"No Cheat Code"
03-14-18,"Pi From Scratch"
03-10-18,"It Was Time"
03-08-18,"Thinning Numbers"
03-06-18,"Unmaasked"
03-02-18,"Merry Prankster"
02-28-18,"Arcane Horror"
02-09-18,"Aimless"
02-08-18,"Career Jargon"
02-07-18,"Venting"
02-06-18,"Philosophy"
02-05-18,"Schedule Adjustment"
02-02-18,"Fan Letters"
02-01-18,"Preserving History"
01-31-18,"Many Hats"
01-30-18,"Family Business"
01-29-18,"Adjusted For Inflation"
01-26-18,"Crunching the Numbers"
01-25-18,"Self-Destruction"
01-24-18,"A Moment of Hesitation"
01-23-18,"You Get What You Pay For"
01-22-18,"Work Ages You"
01-17-18,"Old Familiar Faces XVI pt 3"
01-16-18,"Old Familiar Faces XVI pt 2"
01-15-18,"Old Familiar Faces XVI pt 1"
01-12-18,"Guest Strip – David Willis"
01-11-18,"Guest Strip – KB Spangler"
01-08-18,"Feeding"
01-05-18,"Greetings"
01-04-18,"Beard Issues"
01-02-18,"Time"
12-30-17,"Late At Night"
12-27-17,"Autobio Comic"
12-25-17,"Ho Ho Dead"
12-21-17,"Odine"
12-19-17,"Future Imperfect"
12-15-17,"Belief System"
12-12-17,"Most Important Class"
12-05-17,"Temper Range"
12-04-17,"Trash Talk"
12-01-17,"Ring Memories"
11-30-17,"Backstage"
11-29-17,"Excited Expectations"
11-28-17,"Torture Most Fowl"
11-25-17,"A Magical Birthday"
11-24-17,"Reward"
11-23-17,"Working Ahead"
11-22-17,"A Deserved Vacation"
11-21-17,"Everyone Knows the Rules"
11-17-17,"Boo"
11-15-17,"A Labor For Good"
11-14-17,"A Maze of Emotion"
11-10-17,"Just a Suggestion"
11-08-17,"Late At Night"
11-07-17,"Counted Out"
11-03-17,"Popularity"
11-01-17,"One Want"
10-30-17,"Folklore Springing to Life"
10-28-17,"Fill ‘Er Up"
10-26-17,"A Tally"
10-24-17,"Loving In Her Own Way"
10-11-17,"Thinning the Herd"
10-10-17,"Snuggle Up"
10-07-17,"Budget-Minded"
10-06-17,"Asking Help"
10-05-17,"The Muse"
10-04-17,"Research Assistant"
10-03-17,"Premise"
09-29-17,"Meeting For The First Time"
09-28-17,"As a House Settles"
09-27-17,"Dates Don’t Wait"
09-26-17,"Notice"
09-25-17,"Recovery"
09-21-17,"Have Something"
09-20-17,"Focus"
09-19-17,"Lines"
09-14-17,"Ow"
09-12-17,"No"
09-07-17,"Worries"
09-06-17,"Vet Visit"
09-05-17,"Getting Old"
08-29-17,"Grease"
08-26-17,"Always Here"
08-25-17,"Your Day"
08-24-17,"Alphabet Soup"
08-23-17,"Responsible Roles"
08-22-17,"Leaking"
08-18-17,"Wet Fur"
08-16-17,"Portait"
08-14-17,"Wooo-ooo"
08-11-17,"Feelings"
08-09-17,"The Whole Internet"
08-04-17,"Motherly Advice"
08-01-17,"Meanwhile, in Reality"
07-26-17,"Interaction"
07-25-17,"Dream Date"
07-24-17,"Dream Daddy"
07-24-17,"Curtain Call"
07-18-17,"Getting Comfortable"
07-13-17,"Entertaining"
07-12-17,"Figuring It Out"
07-11-17,"Boston"
07-07-17,"Extinct Love"
07-05-17,"Puppy Promises"
07-04-17,"Boom"
06-29-17,"Packing"
06-28-17,"Duck Blur"
06-27-17,"Davan’s Guide pt 3"
06-22-17,"Davan’s Guide pt 2"
06-21-17,"Davan’s Guide"
06-14-17,"Expanding Horizons"
06-13-17,"Speechless"
06-10-17,"A Holiday Nightmare"
06-03-17,"Perfect Explanation"
06-02-17,"Don’t Understand"
06-01-17,"Expenses"
05-31-17,"Yard Work"
05-30-17,"Bread and Circus"
05-25-17,"Old Names"
05-24-17,"Look At the Positive"
05-23-17,"Too Built Up"
05-17-17,"The Bright Side"
05-16-17,"Wake Up"
05-13-17,"How It Went"
05-12-17,"Making a Guest List"
05-11-17,"Understanding the Shower"
05-10-17,"You’re Going To Help"
05-09-17,"Baby Shower"
05-04-17,"Special Treatment"
05-03-17,"All Planned Out"
05-02-17,"MerMay"
05-01-17,"Unexpected Expecting Company"
04-27-17,"Plague Bearer"
04-25-17,"Ahead"
04-20-17,"Childless"
04-19-17,"Honesty"
04-18-17,"Offers"
04-14-17,"Egg Roll"
04-12-17,"Listening"
04-06-17,"Even Miss Me"
04-05-17,"Expecting"
04-04-17,"While You Were Gone"
03-31-17,"Lighting a Fuse"
03-29-17,"Stranded"
03-28-17,"A Hankering"
03-23-17,"Blessed"
03-22-17,"Late Night Snack"
03-21-17,"Upsetting"
03-16-17,"The Joys of Cat Owning"
03-15-17,"Tavel Romance"
03-13-17,"Another Snow Day"
03-10-17,"Body Building"
03-09-17,"Constantly Away"
03-07-17,"Unusable"
03-03-17,"Ask a Silly Question"
03-02-17,"Burn"
02-20-17,"Planning Ahead"
02-15-17,"Cards"
02-14-17,"What If"
02-13-17,"And It Goes On"
02-10-17,"No One Wants This"
02-09-17,"First Lesson"
02-08-17,"Responsibility"
02-07-17,"You May Have Noticed"
02-06-17,"Come Hither Eyes"
02-03-17,"Times Change"
02-02-17,"Disconnect"
02-01-17,"Privacy Apps"
01-31-17,"Tabs Of Cats"
01-30-17,"Inspected"
01-27-17,"Design"
01-25-17,"Art Installation"
01-24-17,"Local Flavor"
01-23-17,"Welcoming Gift"
01-19-17,"House Features"
01-18-17,"Lapsed"
01-17-17,"The Move"
01-12-17,"Old Familiar Faces XV pt 4"
01-11-17,"Old Familiar Faces XV pt 3"
01-10-17,"Old Familiar Faces XV pt 2"
01-09-17,"Old Familiar Faces XV pt 1"
01-06-17,"Life Imitates Nightmares"
01-04-17,"A Little Force"
01-03-17,"Planning"
12-30-16,"The Upside to Being Sick"
12-28-16,"Nurse Odine"
12-21-16,"Curtain Call"
12-21-16,"Mundane Rebellion"
12-19-16,"Psychology"
12-16-16,"Old Fashioned Christmas"
12-15-16,"Celebrate Your Own Way"
12-14-16,"Christmas Feast"
12-13-16,"Spirit of the Season"
12-12-16,"Say It With a Card"
12-06-16,"Take Care of Each Other"
12-05-16,"What If"
12-02-16,"Signs"
12-01-16,"Possibilities"
11-30-16,"Everyone Close"
11-29-16,"Dinner Conversation"
11-28-16,"Safekeeping"
11-25-16,"Passing It Down"
11-24-16,"Holiday Duties"
11-18-16,"A Place To Go"
11-17-16,"Overlooked"
11-16-16,"Paperwork"
11-15-16,"Take Risks"
11-14-16,"Almost Perfect"
11-11-16,"Two Options"
11-10-16,"Counteroffer"
11-09-16,"Intro to Burn-Out"
11-08-16,"Drawing For Kids"
11-05-16,"A Warm Welcome"
10-12-16,"Halloween ’87 pt 8"
10-11-16,"Halloween ’87 pt 7"
10-10-16,"Halloween ’87 pt 6"
10-07-16,"Halloween ’87 pt 5"
10-06-16,"Halloween ’87 pt 4"
10-05-16,"Halloween ’87 pt 3"
10-04-16,"Halloween ’87 pt 2"
10-03-16,"Halloween ’87 pt 1"
09-30-16,"Things Change pt 2"
09-29-16,"Things Change pt 1"
09-28-16,"That Sorta Parent"
09-27-16,"Clowns Ahoy pt 8"
09-26-16,"Clowns Ahoy pt 7"
09-23-16,"Clowns Ahoy pt 6"
09-22-16,"Clowns Ahoy pt 5"
09-21-16,"Clowns Ahoy pt 4"
09-20-16,"Clowns Ahoy pt 3"
09-19-16,"Avast, Alas"
09-16-16,"Clowns Ahoy pt 2"
09-15-16,"One Day"
09-14-16,"Clowns Ahoy pt 1"
09-13-16,"Sorry"
09-12-16,"A Place To Sleep"
09-09-16,"Prove Something"
09-08-16,"The Fall"
09-07-16,"Almost There"
09-06-16,"Ingenuity"
09-05-16,"San Francisco Art"
09-02-16,"Like Everybody Else"
09-01-16,"A Final Find"
08-30-16,"Scrounging and Collecting"
08-30-16,"Valid Ratings"
08-29-16,"Trip Planning"
08-25-16,"Unusual Tones"
08-25-16,"Kharisma’s Guide to Ethics"
08-24-16,"Got a Dream"
08-23-16,"Back In Town"
08-22-16,"Company"
08-19-16,"Relocate"
08-18-16,"Home Is Where"
08-17-16,"Enough Stories"
08-16-16,"Seeking Career Opportunities"
08-15-16,"Animal Groupings"
08-12-16,"Celebration"
08-11-16,"Vacancy"
08-10-16,"Alumni Services"
08-09-16,"Vanessa’s Guide…."
08-08-16,"Dungeon Diving"
08-04-16,"Gen Con Q&A Week pt 2"
08-01-16,"Gen Con Q&A Week pt 1"
07-22-16,"Another Late Night Call"
07-21-16,"Last Day Teaching"
07-19-16,"Two More Years"
07-19-16,"Immediate Plans"
07-18-16,"Best Part of Libraries"
07-15-16,"What I Hate"
07-14-16,"Day Off"
07-13-16,"Greatest Fight on Earth"
07-11-16,"Teaching"
07-04-16,"Building Tomorrow"
06-28-16,"Smarter Than the Average Predator"
06-27-16,"Old People’s Cartoons"
06-24-16,"Cast Revealed"
06-23-16,"Everyone’s On Board"
06-22-16,"Game Choice"
06-21-16,"Fresh Air"
06-20-16,"Can’t Force"
06-17-16,"Investment Opportunity"
06-16-16,"Redo"
06-15-16,"Unexpected"
06-14-16,"Assurances"
06-13-16,"Late Night Promises"
06-10-16,"Done For Now"
06-09-16,"Coverage"
06-08-16,"Later Is Now"
06-07-16,"New to the End"
06-04-16,"Death Prep"
06-02-16,"So Damn No Close"
05-31-16,"Yard Signs"
05-27-16,"Visits of Nerdom Past"
05-25-16,"Towel Day"
05-18-16,"Mash-Up"
05-17-16,"Sale Limitations"
05-16-16,"Not So Clever"
05-13-16,"Credit Rating"
05-12-16,"Never Read the Comments"
05-11-16,"Fins and Gills"
05-10-16,"Parent Conference"
05-09-16,"Name Calling"
05-06-16,"Basics of Religion 101"
05-04-16,"Special Edition"
05-03-16,"Fake News, Real Awkward"
04-29-16,"Planning Ahead"
04-20-16,"Civic Duties"
04-19-16,"Library Thieves"
04-18-16,"Tax Prep"
04-08-16,"Do You Hate Him?"
04-07-16,"Return to Sender"
04-06-16,"Treats and Tales"
04-05-16,"Not Open to Penpals"
04-04-16,"Support"
04-01-16,"Doth Protest Too Much"
03-31-16,"Time Table"
03-30-16,"Reimagined"
03-29-16,"Growing"
03-28-16,"Conventions Comin’"
03-23-16,"The Draining Doom"
03-22-16,"Pilot"
03-20-16,"Ow"
03-17-16,"Sad of the Irish"
03-16-16,"Bumble"
03-15-16,"Changes Start"
03-14-16,"Pi Day"
02-23-16,"Bar Pets Revisited pt 14"
02-22-16,"Bar Pets Revisited pt 13"
02-19-16,"Bar Pets Revisited pt 12"
02-18-16,"Bar Pets Revisited pt 11"
02-17-16,"Bar Pets Revisited pt 10"
02-16-16,"Bar Pets Revisited pt 9"
02-15-16,"Bar Pets Revisited pt 8"
02-12-16,"Bar Pets Revisited pt 7"
02-11-16,"Late Night Congestion"
02-10-16,"Bar Pets Revisited pt 6"
02-09-16,"Up Early"
02-08-16,"Bar Pets Revisited pt 5"
02-05-16,"Bar Pets Revisited pt 4"
02-04-16,"Bar Pets Revisited pt 3"
02-03-16,"Bar Pets Revisited pt 2"
02-02-16,"Bar Pets Revisited pt 1"
